fecha,referencia,PC1
21/05/2019,LN1,-0.2833853284234426
21/05/2019,LN2_CM,-0.30268529671934225
21/05/2019,LN2_SB,-0.19792755563984762
21/05/2019,LN2_CB,-0.23652749223164696
04/06/2019,LN2_SB,-0.1323238818945416
04/06/2019,LN2_CB,-0.1521239193969877
18/06/2019,LN1,-0.36638330132618757
18/06/2019,LN2_CM,-0.26780209071673927
18/06/2019,LN2_SB,-0.1311480434899595
18/06/2019,LN2_CB,-0.12979650509388813
09/07/2019,LN2_SB,0.27050213705454057
09/07/2019,LN2_CB,-0.17246457225786238
27/08/2019,LN1,-0.3691539550381339
27/08/2019,LN2_CM,-0.16216584967979827
27/08/2019,LN2_SB,0.3309699648947753
27/08/2019,LN2_CB,-0.1396221892333272
17/09/2019,LN1,-0.3757089162590802
17/09/2019,LN2_CM,-0.13983843537669863
17/09/2019,LN2_SB,0.27367825228530845
17/09/2019,LN2_CB,0.01761578776562002
08/10/2019,LN2_SB,-0.24144709199334688
08/10/2019,LN2_CB,-0.15769225758880193
22/10/2019,LN1,-0.373451847137641
22/10/2019,LN2_CM,-0.22249852368042577
22/10/2019,LN2_SB,-0.2917108049432424
22/10/2019,LN2_CB,0.33445693395663956
12/11/2019,LN2_SB,0.357122232858757
12/11/2019,LN2_CB,-0.028998771514882712
19/11/2019,LN2_SB,0.2390653539619198
19/11/2019,LN2_CB,-0.07788391530078544
03/12/2019,LN2_SB,-0.27209998281624637
03/12/2019,LN2_CB,-0.34615077153699864
17/12/2019,LN1,-0.3841560312345265
17/12/2019,LN2_CM,-0.045446993795071694
